Transaction Id,Account number,Bank_name,Dat of transaction,Withdrawl,Deposit,Purpose,Closing Balance
2,4204200005,HSBC,24/11/20,0,98968,Salary,100952
3,4204200005,HSBC,24/11/20,20000,0,Rent,80952
4,4204200005,HSBC,24/11/20,1000,0,Bills(electric etc),79952
5,4204200005,HSBC,25/11/20,999,0,Subscriptions,78953
6,4204200005,HSBC,25/11/20,200,0,transportation,78753
7,4204200005,HSBC,25/11/20,300,0,food,78453
8,4204200005,HSBC,25/11/20,1999,0,shopping,76454
9,4204200005,HSBC,25/11/20,350,0,food,76104
10,4204200005,HSBC,25/11/20,200,0,transportation,75904
11,4204200005,HSBC,26/11/20,300,0,food,75604
12,4204200005,HSBC,26/11/20,350,0,food,75254
13,4204200005,HSBC,27/11/20,350,0,food,74904
14,4204200005,HSBC,27/11/20,100,0,transportation,74804
15,4204200005,HSBC,27/11/20,10000,0,money transfered,64804
16,4204200005,HSBC,28/11/20,100,0,transportation,64704
17,4204200005,HSBC,28/11/20,250,0,food,64454
18,4204200005,HSBC,29/11/20,3000,0,shopping,61454
19,4204200005,HSBC,29/11/20,1000,0,food,60454
20,4204200005,HSBC,30/11/20,4000,0,shopping,56454
21,4204200001,HSBC,24/11/20,0,101350,Salary,105350
22,4204200001,HSBC,24/11/20,329,0,Subscriptions,105021
23,4204200001,HSBC,24/11/20,267,0,Subscriptions,104754
24,4204200001,HSBC,25/11/20,18000,0,Rent,86754
25,4204200001,HSBC,25/11/20,3000,0,Bills(electric etc),83754
26,4204200001,HSBC,25/11/20,15000,0,money transfered,68754
27,4204200001,HSBC,25/11/20,1500,0,food,67254
28,4204200001,HSBC,25/11/20,700,0,food,66554
29,4204200001,HSBC,25/11/20,1500,0,shopping,65054
30,4204200001,HSBC,26/11/20,500,0,shopping,64554
31,4204200001,HSBC,26/11/20,1000,0,transportation,63554
32,4204200001,HSBC,27/11/20,313,0,food,63241
33,4204200001,HSBC,27/11/20,270,0,food,62971
34,4204200001,HSBC,27/11/20,500,0,food,62471
35,4204200001,HSBC,28/11/20,5000,0,shopping,57471
36,4204200001,HSBC,28/11/20,3000,0,transportation,54471
37,4204200001,HSBC,29/11/20,1000,0,shopping,53471
38,4204200001,HSBC,29/11/20,7500,0,money transfered,45971
39,4204200001,HSBC,30/11/20,500,0,food,45471
40,750750001,Lloyds,25/11/20,0,15000,money transfered,15500
41,750750001,Lloyds,26/11/20,10000,0,shopping,5500
42,750750001,Lloyds,27/11/20,2500,0,shopping,3000
43,750750001,Lloyds,29/11/20,0,7500,money transfered,10500
44,750750001,Lloyds,1/12/2020,1050,0,shopping,9450
45,750750001,Lloyds,2/12/2020,5500,0,shopping,3950
46,750750055,Lloyds,27/11/20,0,10000,money transfered,10600
47,750750055,Lloyds,28/11/20,1000,0,shopping,9600
48,750750055,Lloyds,30/11/20,2500,0,shopping,7100
49,750750055,Lloyds,1/12/2020,1500,0,shopping,5600
50,750750055,Lloyds,1/12/2020,1000,0,shopping,4600
51,750750055,Lloyds,1/12/2020,2000,0,shopping,2600
52,750750055,Lloyds,1/12/2020,500,0,shopping,2100
